DO;PRODUIT; HT ; TAX ; TTC ; DISCOUNT 
Tipaza;VOIP; 9 606 731,93 ; 1 825 279,52 ; 11 432 011,45 ; -   
Alger_Est;LTE; 74 474,68 ; 2,85 ; 74 477,53 ; 67 157,28 
Setif;Specialized Line; 776 722,03 ; 111 287,19 ; 888 009,22 ; -   
Guelma;Specialized Line; 647 560,50 ; 37 289,50 ; 684 850,00 ; -   
Constantine;PSTN; 803 426,79 ; 41 881,09 ; 845 307,88 ; -   
Guelma;PSTN; 1 093 204,73 ; 76 608,90 ; 1 169 813,63 ; -   
Mostaganem;Specialized Line; 75,00 ; 9,50 ; 84,50 ; 7 067,66 
Laghouat;PSTN; 50,00 ; -   ; 50,00 ; 8 672,58 
Oum_El_Bouaghi;PSTN; 936 719,39 ; 48 035,68 ; 984 755,07 ; -   
El_Bayadh;VOIP; 344 075,00 ; 31 744,25 ; 375 819,25 ; -   
Bejaia;Specialized Line; 640 180,00 ; 31 593,20 ; 671 773,20 ; -   
Alger_Centre;VOIP; 1 520,00 ; 288,80 ; 1 808,80 ; -   
Bordj_Bou_Arreridj;VOIP; -   ; -   ; -   ; 1 325,58 
Ain_Temouchent;LTE; 390 651,47 ; 53 323,38 ; 443 974,85 ; -   
El_Bayadh;PSTN; 2 131 118,66 ; 161 902,57 ; 2 293 021,23 ; -   
Illizi;VOIP; 570 603,65 ; 45 714,69 ; 616 318,34 ; -   
M_Sila;PSTN; 50,00 ; 9,50 ; 59,50 ; -   
Tebessa;LTE; 717 580,29 ; 60 910,26 ; 778 490,55 ; -   
Tlemcen;Specialized Line; 19 744,24 ; 3 751,41 ; 23 495,65 ; -   
Siege;PSTN; 422 046,79 ; 39 281,89 ; 461 328,68 ; -   
Naama;Specialized Line; 375 476,35 ; 66 210,51 ; 441 686,86 ; -   
Ain_Defla;PSTN; 270 951,03 ; 50 435,69 ; 321 386,72 ; -   
Laghouat;VOIP; 394 607,23 ; 47 216,37 ; 441 823,61 ; -   
Medea;Specialized Line; 668 154,70 ; 68 087,39 ; 736 242,09 ; -   
El_Oued;VOIP; 12 889,95 ; 19,00 ; 12 908,95 ; 13 755,86 
Timimoune;Specialized Line; 133 913,35 ; 23 543,54 ; 157 456,89 ; -   
Tissemsilt;PSTN; 3 366,46 ; -   ; 3 366,46 ; 17 034,89 
Mila;LTE; 199,85 ; 37,97 ; 237,82 ; -   
Tizi_Ouzou;PSTN; 50,00 ; 9,50 ; 59,50 ; -   
Batna;VOIP; 6 944,96 ; -   ; 6 944,96 ; -   
Mostaganem;VOIP; 25,00 ; -   ; 25,00 ; -   
Tipaza;PSTN; 1 882,50 ; -   ; 1 882,50 ; -   
Alger_Est;VOIP; 198 060,00 ; 29 689,40 ; 227 749,40 ; -   
Bordj_Bou_Arreridj;Specialized Line; 57 600,00 ; 10 944,00 ; 68 544,00 ; -   
In Guezzam;PSTN; 746 640,38 ; 60 199,67 ; 806 840,05 ; -   
Khenchela;PSTN; 25,00 ; -   ; 25,00 ; -   
Constantine;VOIP; 44 005,72 ; -   ; 44 005,72 ; -   
Skikda;VOIP; 447 043,35 ; 40 706,24 ; 487 749,59 ; -   
