DO;PRODUIT; HT ; TAX ; TTC ;TYPE_VENTE;CHANNEL
Adrar;ADSL;5 721 079,90; -   ;5 721 079,90;recharge via agence;Agence
Adrar;ADSL;2 052 306,36; -   ;2 052 306,36;Recharge via Carte Credit& Application;ATPOST
Adrar;ADSL;579 206,05; -   ;579 206,05;recharge via eSpace Client;eSpace Client
Adrar;ADSL;57 199,45; -   ;57 199,45;Rechargement via espace Actel;ActelEspace
Adrar;ADSL;898 999,25;228;899 227,25;Ventes et recharges ADSL;9
Adrar;Divers;8 044,75;1 528,50;9 573,25;ventes accessoires;9
Adrar;DV;199 036,00; -   ;199 036,00;Divers;9
Adrar;FTTx;42 533,61;8 081,39;50 615,00;Modem;9
Adrar;FTTx;8 187,39;1 555,61;9 743,00;Prestation de services FTTX;9
Adrar;FTTx;3 000,00;570;3 570,00;Prestation de services FTTx;9
Adrar;FTTx;2 889 934,40; -   ;2 889 934,40;recharge via agence;Agence
Adrar;FTTx;1 346 005,68; -   ;1 346 005,68;Recharge via Carte Credit& Application;ATPOST
Adrar;FTTx;366 772,40; -   ;366 772,40;recharge via eSpace Client;eSpace Client
Adrar;FTTx;36 111,00; -   ;36 111,00;Rechargement via espace Actel;ActelEspace
Adrar;FTTx;24 994,85; -   ;24 994,85;Ventes et Recharges FTTX;9
Adrar;LTE;2 026,71;385,09;2 411,79;Prestation de services LTE 4G;9
Adrar;LTE;981 185,00; -   ;981 185,00;Recharge via Carte Credit& Application;ATPOST
Adrar;LTE;271 895,00; -   ;271 895,00;recharge via eSpace Client;eSpace Client
Adrar;LTE;234 182,50; -   ;234 182,50;Rechargement via espace Actel;ActelEspace
Adrar;LTE;923 468,00; -   ;923 468,00;Recharges 4G;9
Adrar;LTE;562 590,15; -   ;562 590,15;Ventes et Recharges LTE 4G;9
Adrar;Modem;12 529,41;2 380,59;14 910,00;Modem;9
Adrar;PSTN;9 888,54;1 870,72;11 759,26;Divers;9
Adrar;PSTN;46 759,47;8 884,33;55 643,80;Prestation de services PSTN;9
Adrar;VOIP;22 286,95;4 234,55;26 521,50;Prestation de services VOIP;9
Ain_Defla;ADSL;399 000,00; -   ;399 000,00;Recharge ADSL;9
Ain_Defla;ADSL;15 356 686,05; -   ;15 356 686,05;recharge via agence;Agence
Ain_Defla;ADSL;3 372 258,58; -   ;3 372 258,58;Recharge via Carte Credit& Application;ATPOST
Ain_Defla;ADSL;1 280 634,60; -   ;1 280 634,60;recharge via eSpace Client;eSpace Client
Ain_Defla;ADSL;654 758,25; -   ;654 758,25;Rechargement via espace Actel;ActelEspace
Ain_Defla;ADSL;10 757 473,13;969;10 758 442,13;Ventes et recharges ADSL;9
Ain_Defla;Divers;825;156,75;981,75;ventes accessoires;9
Ain_Defla;DV;412 768,00; -   ;412 768,00;Divers;9
Ain_Defla;FTTx;6 554,62;1 245,38;7 800,00;Modem;9
Ain_Defla;FTTx;1 093,28;207,72;1 301,00;Prestation de services FTTX;9
Ain_Defla;FTTx;1 292,44;245,56;1 538,00;Prestation de services FTTx;9
